16-Nov-2020 17:01:31
Meas. Pulse Power provided by IQ-Mod and Small signal Gain Response
CW @ 8.5GHz and -20dBm

Time(Sec.)	 Gain(dB)            Pout(dBm)	

0   -6.245937e+01   -6.114296e-01
 3e-07   -5.943194e+01   -6.186035e-01
 6e-07   -5.685030e+01   -5.663134e-01
 9e-07   -7.152970e+01   -5.348833e-01
 1.2e-06   -6.006029e+01   -5.572382e-01
 1.5e-06   -5.837478e+01   -5.604416e-01
 1.8e-06   -6.929762e+01   -4.995291e-01
 2.1e-06   -6.227189e+01   -5.331999e-01
 2.4e-06   -6.303268e+01   -5.810770e-01
 2.7e-06   -5.871163e+01   -5.548629e-01
 3e-06   -5.937922e+01   -4.768047e-01
 3.3e-06   -6.771980e+01   -5.027385e-01
 3.6e-06   -6.307188e+01   -4.857228e-01
 3.9e-06   -6.464104e+01   -5.306443e-01
 4.2e-06   -5.724504e+01   -5.954469e-01
 4.5e-06   -5.515004e+01   -5.014175e-01
 4.8e-06   -6.174842e+01   -6.580858e-01
 5.1e-06   -5.909711e+01   -6.436209e-01
 5.4e-06   -7.726220e+01   -5.725656e-01
 5.7e-06   -5.871967e+01   -6.581857e-01
 6e-06   -5.700462e+01   -5.254378e-01
 6.3e-06   -6.510222e+01   -5.737462e-01
 6.6e-06   -6.684892e+01   -5.314940e-01
 6.9e-06   -6.197940e+01   -5.325134e-01
 7.2e-06   -5.767244e+01   -6.285114e-01
 7.5e-06   -5.956381e+01   -6.013327e-01
 7.8e-06   -5.749143e+01   -5.795910e-01
 8.1e-06   -5.624110e+01   -6.073501e-01
 8.4e-06   -6.484084e+01   -6.254629e-01
 8.7e-06   -6.461498e+01   -4.877869e-01
 9e-06   -6.199128e+01   -5.627236e-01
 9.3e-06   -5.923170e+01   -6.021972e-01
 9.6e-06   -5.700428e+01   -5.971503e-01
 9.9e-06   -5.574029e+01   -5.941067e-01
 1.02e-05   -1.008199e+01   -1.969247e+01
 1.05e-05   -1.008578e+01   -1.879426e+01
 1.08e-05   -1.007198e+01   -1.958097e+01
 1.11e-05   -1.006447e+01   -1.907716e+01
 1.14e-05   -1.009517e+01   -1.966973e+01
 1.17e-05   -1.010546e+01   -1.900596e+01
 1.2e-05   -1.009016e+01   -1.917701e+01
 1.23e-05   -1.013209e+01   -2.008053e+01
 1.26e-05   -1.011339e+01   -1.974929e+01
 1.29e-05   -1.008578e+01   -1.915807e+01
 1.32e-05   -1.012871e+01   -1.911725e+01
 1.35e-05   -1.010703e+01   -1.931683e+01
 1.38e-05   -1.009600e+01   -1.950582e+01
 1.41e-05   -1.010557e+01   -1.957008e+01
 1.44e-05   -1.007753e+01   -1.885180e+01
 1.47e-05   -1.011833e+01   -1.916718e+01
 1.5e-05   -1.013320e+01   -1.915790e+01
 1.53e-05   -1.012296e+01   -1.895652e+01
 1.56e-05   -1.010334e+01   -1.895102e+01
 1.59e-05   -1.011987e+01   -1.958109e+01
 1.62e-05   -1.012742e+01   -1.941532e+01
 1.65e-05   -1.009804e+01   -1.951103e+01
 1.68e-05   -1.011781e+01   -1.950327e+01
 1.71e-05   -1.011245e+01   -1.960284e+01
 1.74e-05   -1.013982e+01   -1.908703e+01
 1.77e-05   -1.009593e+01   -1.845518e+01
 1.8e-05   -1.010312e+01   -1.878018e+01
 1.83e-05   -1.013023e+01   -1.887869e+01
 1.86e-05   -1.008799e+01   -1.855899e+01
 1.89e-05   -1.009244e+01   -1.900432e+01
 1.92e-05   -1.014852e+01   -1.923008e+01
 1.95e-05   -1.012707e+01   -1.896972e+01
 1.98e-05   -1.008402e+01   -1.919268e+01
 2.01e-05   -1.032566e+01   -1.575697e+01
 2.04e-05   -5.309533e+01   -5.779575e-01
 2.07e-05   -5.490221e+01   -6.371254e-01
 2.1e-05   -4.802917e+01   -5.686291e-01
 2.13e-05   -5.532932e+01   -5.861610e-01
 2.16e-05   -5.262695e+01   -6.639373e-01
 2.19e-05   -5.921220e+01   -5.505370e-01
 2.22e-05   -7.626383e+01   -5.551006e-01
 2.25e-05   -5.611903e+01   -6.146149e-01
 2.28e-05   -5.527926e+01   -6.029673e-01
 2.31e-05   -7.336810e+01   -6.701512e-01
 2.34e-05   -5.861810e+01   -6.260986e-01
 2.37e-05   -5.676305e+01   -5.737160e-01
 2.4e-05   -5.682666e+01   -5.992072e-01
 2.43e-05   -5.531643e+01   -5.410329e-01
 2.46e-05   -5.864686e+01   -5.698864e-01
 2.49e-05   -5.548570e+01   -5.750443e-01
 2.52e-05   -5.477044e+01   -5.609874e-01
 2.55e-05   -5.952230e+01   -6.496255e-01
 2.58e-05   -6.057100e+01   -5.569928e-01
 2.61e-05   -5.720749e+01   -6.369189e-01
 2.64e-05   -5.406399e+01   -6.040998e-01
 2.67e-05   -6.262899e+01   -4.958708e-01
 2.7e-05   -6.156547e+01   -5.621859e-01
 2.73e-05   -5.941675e+01   -5.400267e-01
 2.76e-05   -5.736224e+01   -5.109805e-01
 2.79e-05   -5.659408e+01   -6.312312e-01
 2.82e-05   -5.550747e+01   -6.161077e-01
 2.85e-05   -5.720532e+01   -4.460602e-01
 2.88e-05   -6.615916e+01   -6.407960e-01
 2.91e-05   -6.919186e+01   -6.336681e-01
 2.94e-05   -5.713158e+01   -5.630109e-01
 2.97e-05   -6.410976e+01   -5.933548e-01
 3e-05   -6.462614e+01   -6.120142e-01
 3.03e-05   -7.490084e+01   -5.561829e-01
 3.06e-05   -6.053893e+01   -6.454739e-01
 3.09e-05   -6.313364e+01   -5.271744e-01
 3.12e-05   -7.485818e+01   -6.213026e-01
 3.15e-05   -5.974102e+01   -5.308068e-01
 3.18e-05   -5.766499e+01   -6.113731e-01
 3.21e-05   -5.897459e+01   -6.514578e-01
 3.24e-05   -5.880320e+01   -5.265493e-01
 3.27e-05   -5.985405e+01   -6.071110e-01
 3.3e-05   -6.442281e+01   -6.321552e-01
 3.33e-05   -6.887708e+01   -6.470203e-01
 3.36e-05   -6.211717e+01   -5.822166e-01
 3.39e-05   -6.310673e+01   -5.191126e-01
 3.42e-05   -6.674950e+01   -6.154741e-01
 3.45e-05   -6.333956e+01   -6.502091e-01
 3.48e-05   -7.232932e+01   -5.478742e-01
 3.51e-05   -5.668186e+01   -6.051292e-01
 3.54e-05   -6.579987e+01   -6.082932e-01
 3.57e-05   -5.955681e+01   -5.706092e-01
 3.6e-05   -5.423467e+01   -6.824764e-01
 3.63e-05   -6.072903e+01   -4.768936e-01
 3.66e-05   -5.572174e+01   -6.176280e-01
 3.69e-05   -6.641296e+01   -5.505593e-01
 3.72e-05   -6.134921e+01   -5.888466e-01
 3.75e-05   -6.870370e+01   -5.676419e-01
 3.78e-05   -5.368166e+01   -6.167085e-01
 3.81e-05   -6.217802e+01   -5.666785e-01
 3.84e-05   -6.622019e+01   -6.457993e-01
 3.87e-05   -6.632018e+01   -5.702758e-01
 3.9e-05   -7.045985e+01   -5.886160e-01
 3.93e-05   -6.890211e+01   -5.502779e-01
 3.96e-05   -5.456959e+01   -4.764745e-01
 3.99e-05   -6.554878e+01   -5.966555e-01
 4.02e-05   -5.523854e+01   -6.937675e-01
 4.05e-05   -5.951341e+01   -6.493450e-01
 4.08e-05   -6.061971e+01   -6.176883e-01
 4.11e-05   -6.153637e+01   -5.536703e-01
 4.14e-05   -6.249411e+01   -5.614566e-01
 4.17e-05   -5.711111e+01   -6.106277e-01
 4.2e-05   -5.894882e+01   -5.990761e-01
 4.23e-05   -5.737641e+01   -5.789583e-01
 4.26e-05   -6.028088e+01   -5.746459e-01
 4.29e-05   -6.887847e+01   -6.211912e-01
 4.32e-05   -6.173360e+01   -6.629612e-01
 4.35e-05   -6.581527e+01   -5.875749e-01
 4.38e-05   -5.258388e+01   -6.393118e-01
 4.41e-05   -7.185905e+01   -4.782817e-01
 4.44e-05   -5.628433e+01   -5.679578e-01
 4.47e-05   -6.624492e+01   -6.576182e-01
 4.5e-05   -5.953388e+01   -5.973907e-01
 4.53e-05   -5.854505e+01   -5.765886e-01
 4.56e-05   -6.964311e+01   -6.899469e-01
 4.59e-05   -5.695433e+01   -5.455367e-01
 4.62e-05   -6.110146e+01   -6.936762e-01
 4.65e-05   -6.825664e+01   -6.084601e-01
 4.68e-05   -5.474121e+01   -6.694133e-01
 4.71e-05   -5.792610e+01   -5.605802e-01
 4.74e-05   -5.614666e+01   -5.940946e-01
 4.77e-05   -6.410501e+01   -5.342925e-01
 4.8e-05   -5.880082e+01   -4.392339e-01
 4.83e-05   -5.870245e+01   -5.930246e-01
 4.86e-05   -5.756382e+01   -5.974655e-01
 4.89e-05   -7.442072e+01   -6.049734e-01
 4.92e-05   -6.780515e+01   -5.225164e-01
 4.95e-05   -6.423197e+01   -5.077044e-01
 4.98e-05   -5.949409e+01   -5.519668e-01
 5.01e-05   -6.385522e+01   -5.259008e-01
 5.04e-05   -5.461897e+01   -5.382591e-01
 5.07e-05   -5.804951e+01   -5.692683e-01
 5.1e-05   -6.880667e+01   -6.275253e-01
 5.13e-05   -5.408937e+01   -5.199876e-01
 5.16e-05   -6.406535e+01   -6.241481e-01
 5.19e-05   -5.521883e+01   -5.186576e-01
 5.22e-05   -6.038821e+01   -5.826005e-01
 5.25e-05   -5.791922e+01   -6.023006e-01
 5.28e-05   -5.806657e+01   -5.812415e-01
 5.31e-05   -6.486689e+01   -6.220307e-01
 5.34e-05   -6.159101e+01   -5.506625e-01
 5.37e-05   -6.831667e+01   -6.074043e-01
 5.4e-05   -6.623448e+01   -6.140234e-01
 5.43e-05   -7.107685e+01   -5.691117e-01
 5.46e-05   -6.091161e+01   -6.020374e-01
 5.49e-05   -5.851608e+01   -5.337893e-01
 5.52e-05   -7.167831e+01   -6.222377e-01
 5.55e-05   -5.655205e+01   -4.991066e-01
 5.58e-05   -6.320005e+01   -4.655087e-01
 5.61e-05   -5.912915e+01   -6.702731e-01
 5.64e-05   -5.740225e+01   -6.681828e-01
 5.67e-05   -5.906960e+01   -6.215811e-01
 5.7e-05   -5.851688e+01   -4.786222e-01
 5.73e-05   -5.546388e+01   -6.020122e-01
 5.76e-05   -6.026360e+01   -6.043427e-01
 5.79e-05   -6.367119e+01   -5.629980e-01
 5.82e-05   -5.673844e+01   -5.681731e-01
 5.85e-05   -7.133144e+01   -6.192527e-01
 5.88e-05   -6.579916e+01   -6.133193e-01
 5.91e-05   -6.661019e+01   -5.790725e-01
 5.94e-05   -6.033176e+01   -5.768405e-01
 5.97e-05   -6.643776e+01   -6.022035e-01
 6e-05   -5.864095e+01   -6.668008e-01
 
