17 September 2020 
TITLE  INFO  !!!!! 
 
     x    yyy   CCCC         DDDD
  0.00   0.00    1.00    0.63331920
  0.01   0.01    1.00    0.62554876
  0.02   0.02    1.00    0.61771576
  0.03   0.03    1.00    0.60982099
  0.04   0.04    1.00    0.60186524
  0.05   0.05    1.00    0.59384931
  0.06   0.06    1.00    0.58577398
  0.07   0.07    1.00    0.57764009
  0.08   0.08    1.00    0.56944843
  0.09   0.09    1.00    0.56119982
  0.10   0.10    1.00    0.55289509
  0.11   0.11    0.99    0.54453508
  0.12   0.12    0.99    0.53612061
  0.13   0.13    0.99    0.52765253
  0.14   0.14    0.99    0.51913169
  0.15   0.15    0.99    0.51055893
  0.16   0.16    0.99    0.50193512
  0.17   0.17    0.99    0.49326112
  0.18   0.18    0.98    0.48453778
  0.19   0.19    0.98    0.47576600
  0.20   0.20    0.98    0.46694664
  0.21   0.21    0.98    0.45808059
  0.22   0.22    0.98    0.44916872
  0.23   0.23    0.97    0.44021194
  0.24   0.24    0.97    0.43121114
  0.25   0.25    0.97    0.42216722
  0.26   0.26    0.97    0.41308109
  0.27   0.27    0.96    0.40395364
  0.28   0.28    0.96    0.39478580
  0.29   0.29    0.96    0.38557849
  0.30   0.30    0.96    0.37633261
  0.31   0.31    0.95    0.36704910
  0.32   0.31    0.95    0.35772889
  0.33   0.32    0.95    0.34837290
  0.34   0.33    0.94    0.33898208
  0.35   0.34    0.94    0.32955736
  0.36   0.35    0.94    0.32009968
  0.37   0.36    0.93    0.31061000
  0.38   0.37    0.93    0.30108925
  0.39   0.38    0.92    0.29153840
  0.40   0.39    0.92    0.28195839
  0.41   0.40    0.92    0.27235018
  0.42   0.41    0.91    0.26271475
  0.43   0.42    0.91    0.25305303
  0.44   0.43    0.90    0.24336602
  0.45   0.43    0.90    0.23365467
  0.46   0.44    0.90    0.22391995
  0.47   0.45    0.89    0.21416284
  0.48   0.46    0.89    0.20438432
  0.49   0.47    0.88    0.19458535
  0.50   0.48    0.88    0.18476693
  0.51   0.49    0.87    0.17493003
  0.52   0.50    0.87    0.16507564
  0.53   0.51    0.86    0.15520474
  0.54   0.51    0.86    0.14531833
  0.55   0.52    0.85    0.13541738
  0.56   0.53    0.85    0.12550288
  0.57   0.54    0.84    0.11557584
  0.58   0.55    0.84    0.10563724
  0.59   0.56    0.83    0.09568808
  0.60   0.56    0.83    0.08572935
  0.61   0.57    0.82    0.07576204
  0.62   0.58    0.81    0.06578716
  0.63   0.59    0.81    0.05580570
  0.64   0.60    0.80    0.04581866
  0.65   0.61    0.80    0.03582704
  0.66   0.61    0.79    0.02583183
  0.67   0.62    0.78    0.01583404
  0.68   0.63    0.78    0.00583467
  0.69   0.64    0.77   -0.00416528
  0.70   0.64    0.76   -0.01416482
  0.71   0.65    0.76   -0.02416294
  0.72   0.66    0.75   -0.03415865
  0.73   0.67    0.75   -0.04415094
  0.74   0.67    0.74   -0.05413881
  0.75   0.68    0.73   -0.06412127
  0.76   0.69    0.72   -0.07409732
  0.77   0.70    0.72   -0.08406596
  0.78   0.70    0.71   -0.09402619
  0.79   0.71    0.70   -0.10397702
