26-Jan-2021 12:36:22
Meas. Pulse Power provided by IQ-Mod and Small signal Gain Response
CW @ 8.5GHz and -20dBm

Time(Sec.)	 Gain(dB)            Pout(dBm)	

1    8.414710e-01    5.403023e-01
 1.01    8.468318e-01    5.318607e-01
 1.02    8.521080e-01    5.233660e-01
 1.03    8.572990e-01    5.148188e-01
 1.04    8.624042e-01    5.062203e-01
 1.05    8.674232e-01    4.975710e-01
 1.06    8.723555e-01    4.888721e-01
 1.07    8.772005e-01    4.801242e-01
 1.08    8.819578e-01    4.713284e-01
 1.09    8.866269e-01    4.624854e-01
 1.1    8.912074e-01    4.535961e-01
 1.11    8.956987e-01    4.446615e-01
 1.12    9.001004e-01    4.356824e-01
 1.13    9.044122e-01    4.266598e-01
 1.14    9.086335e-01    4.175945e-01
 1.15    9.127639e-01    4.084874e-01
 1.16    9.168031e-01    3.993395e-01
 1.17    9.207506e-01    3.901517e-01
 1.18    9.246060e-01    3.809248e-01
 1.19    9.283690e-01    3.716599e-01
 1.2    9.320391e-01    3.623578e-01
 1.21    9.356160e-01    3.530194e-01
 1.22    9.390994e-01    3.436457e-01
 1.23    9.424888e-01    3.342377e-01
 1.24    9.457840e-01    3.247963e-01
 1.25    9.489846e-01    3.153224e-01
 1.26    9.520903e-01    3.058169e-01
 1.27    9.551009e-01    2.962809e-01
 1.28    9.580159e-01    2.867152e-01
 1.29    9.608351e-01    2.771209e-01
 1.3    9.635582e-01    2.674988e-01
 1.31    9.661850e-01    2.578500e-01
 1.32    9.687151e-01    2.481755e-01
 1.33    9.711484e-01    2.384761e-01
 1.34    9.734845e-01    2.287528e-01
 1.35    9.757234e-01    2.190067e-01
 1.36    9.778646e-01    2.092387e-01
 1.37    9.799081e-01    1.994497e-01
 1.38    9.818535e-01    1.896408e-01
 1.39    9.837008e-01    1.798130e-01
 1.4    9.854497e-01    1.699671e-01
 1.41    9.871001e-01    1.601043e-01
 1.42    9.886518e-01    1.502255e-01
 1.43    9.901046e-01    1.403316e-01
 1.44    9.914583e-01    1.304237e-01
 1.45    9.927130e-01    1.205028e-01
 1.46    9.938684e-01    1.105698e-01
 1.47    9.949243e-01    1.006257e-01
 1.48    9.958808e-01    9.067162e-02
 1.49    9.967378e-01    8.070845e-02
 1.5    9.974950e-01    7.073720e-02
 1.51    9.981525e-01    6.075888e-02
 1.52    9.987101e-01    5.077448e-02
 1.53    9.991679e-01    4.078501e-02
 1.54    9.995258e-01    3.079146e-02
 1.55    9.997838e-01    2.079483e-02
 1.56    9.999417e-01    1.079612e-02
 1.57    9.999997e-01    7.963267e-04
 1.58    9.999576e-01   -9.203543e-03
 1.59    9.998156e-01   -1.920249e-02
 1.6    9.995736e-01   -2.919952e-02
 1.61    9.992316e-01   -3.919363e-02
 1.62    9.987897e-01   -4.918382e-02
 1.63    9.982480e-01   -5.916909e-02
 1.64    9.976064e-01   -6.914845e-02
 1.65    9.968650e-01   -7.912089e-02
 1.66    9.960240e-01   -8.908542e-02
 1.67    9.950833e-01   -9.904104e-02
 1.68    9.940432e-01   -1.089868e-01
 1.69    9.929037e-01   -1.189216e-01
 1.7    9.916648e-01   -1.288445e-01
 1.71    9.903268e-01   -1.387545e-01
 1.72    9.888898e-01   -1.486507e-01
 1.73    9.873538e-01   -1.585320e-01
 1.74    9.857192e-01   -1.683974e-01
 1.75    9.839859e-01   -1.782461e-01
 1.76    9.821543e-01   -1.880768e-01
 1.77    9.802245e-01   -1.978888e-01
 1.78    9.781966e-01   -2.076810e-01
 1.79    9.760709e-01   -2.174524e-01
 1.8    9.738476e-01   -2.272021e-01
 1.81    9.715270e-01   -2.369290e-01
 1.82    9.691091e-01   -2.466323e-01
 1.83    9.665944e-01   -2.563109e-01
 1.84    9.639830e-01   -2.659639e-01
 1.85    9.612752e-01   -2.755902e-01
 1.86    9.584713e-01   -2.851891e-01
 1.87    9.555715e-01   -2.947594e-01
 1.88    9.525762e-01   -3.043002e-01
 1.89    9.494856e-01   -3.138106e-01
 1.9    9.463001e-01   -3.232896e-01
 1.91    9.430199e-01   -3.327362e-01
 1.92    9.396455e-01   -3.421497e-01
 1.93    9.361771e-01   -3.515288e-01
 1.94    9.326150e-01   -3.608729e-01
 1.95    9.289597e-01   -3.701808e-01
 1.96    9.252115e-01   -3.794518e-01
 1.97    9.213708e-01   -3.886848e-01
 1.98    9.174380e-01   -3.978789e-01
 1.99    9.134134e-01   -4.070332e-01
 2    9.092974e-01   -4.161468e-01
 2.01    9.050906e-01   -4.252189e-01
 2.02    9.007932e-01   -4.342483e-01
 2.03    8.964057e-01   -4.432344e-01
 2.04    8.919287e-01   -4.521762e-01
 2.05    8.873624e-01   -4.610727e-01
 2.06    8.827074e-01   -4.699231e-01
 2.07    8.779641e-01   -4.787265e-01
 2.08    8.731330e-01   -4.874821e-01
 2.09    8.682146e-01   -4.961889e-01
 2.1    8.632094e-01   -5.048461e-01
 2.11    8.581178e-01   -5.134528e-01
 2.12    8.529405e-01   -5.220082e-01
 2.13    8.476778e-01   -5.305113e-01
 2.14    8.423304e-01   -5.389614e-01
 2.15    8.368988e-01   -5.473577e-01
 2.16    8.313835e-01   -5.556991e-01
 2.17    8.257850e-01   -5.639851e-01
 2.18    8.201039e-01   -5.722146e-01
 2.19    8.143409e-01   -5.803869e-01
 2.2    8.084964e-01   -5.885011e-01
 2.21    8.025711e-01   -5.965565e-01
 2.22    7.965655e-01   -6.045523e-01
 2.23    7.904802e-01   -6.124876e-01
 2.24    7.843159e-01   -6.203616e-01
 2.25    7.780732e-01   -6.281736e-01
 2.26    7.717527e-01   -6.359228e-01
 2.27    7.653550e-01   -6.436084e-01
 2.28    7.588807e-01   -6.512297e-01
 2.29    7.523306e-01   -6.587858e-01
 2.3    7.457052e-01   -6.662760e-01
 2.31    7.390053e-01   -6.736996e-01
 2.32    7.322314e-01   -6.810559e-01
 2.33    7.253844e-01   -6.883440e-01
 2.34    7.184648e-01   -6.955633e-01
 2.35    7.114734e-01   -7.027131e-01
 2.36    7.044108e-01   -7.097926e-01
 2.37    6.972777e-01   -7.168011e-01
 2.38    6.900750e-01   -7.237379e-01
 2.39    6.828032e-01   -7.306023e-01
 2.4    6.754632e-01   -7.373937e-01
 2.41    6.680556e-01   -7.441114e-01
 2.42    6.605812e-01   -7.507546e-01
 2.43    6.530408e-01   -7.573228e-01
 2.44    6.454350e-01   -7.638152e-01
 2.45    6.377647e-01   -7.702313e-01
 2.46    6.300306e-01   -7.765703e-01
 2.47    6.222336e-01   -7.828317e-01
 2.48    6.143743e-01   -7.890147e-01
 2.49    6.064535e-01   -7.951189e-01
 2.5    5.984721e-01   -8.011436e-01
 2.51    5.904309e-01   -8.070882e-01
 2.52    5.823306e-01   -8.129520e-01
 2.53    5.741721e-01   -8.187346e-01
 2.54    5.659562e-01   -8.244353e-01
 2.55    5.576837e-01   -8.300535e-01
 2.56    5.493554e-01   -8.355888e-01
 2.57    5.409722e-01   -8.410405e-01
 2.58    5.325349e-01   -8.464080e-01
 2.59    5.240443e-01   -8.516910e-01
 2.6    5.155014e-01   -8.568888e-01
 2.61    5.069069e-01   -8.620008e-01
 2.62    4.982616e-01   -8.670267e-01
 2.63    4.895666e-01   -8.719659e-01
 2.64    4.808226e-01   -8.768179e-01
 2.65    4.720305e-01   -8.815822e-01
 2.66    4.631913e-01   -8.862583e-01
 2.67    4.543057e-01   -8.908459e-01
 2.68    4.453746e-01   -8.953443e-01
 2.69    4.363991e-01   -8.997532e-01
 2.7    4.273799e-01   -9.040721e-01
 2.71    4.183179e-01   -9.083007e-01
 2.72    4.092142e-01   -9.124384e-01
 2.73    4.000695e-01   -9.164848e-01
 2.74    3.908848e-01   -9.204396e-01
 2.75    3.816610e-01   -9.243024e-01
 2.76    3.723990e-01   -9.280727e-01
 2.77    3.630998e-01   -9.317502e-01
 2.78    3.537643e-01   -9.353346e-01
 2.79    3.443935e-01   -9.388254e-01
 2.8    3.349882e-01   -9.422223e-01
 2.81    3.255493e-01   -9.455251e-01
 2.82    3.160780e-01   -9.487332e-01
 2.83    3.065750e-01   -9.518465e-01
